Total_credit,X3C,X3E,X4C,X4E,X5C,X5E,X6C,X7C,X7E,Y4C,Y7C,Z3C,Z4C,Z5C 5/3,J3E,J4E,J5C,J5E,M3C,M4C,M5C,M6C,W4C,W5C,Class,
11,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,level 3,11
61,25,0,15,0,0,0,0,0,0,1,0,10,5,0,0,0,0,0,2,3,0,0,0,0,level 3,61
52,25,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,level 3,52
49,25,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,level3,49
152,25,0,20,2,23,0,6,7,7,1,8,10,5,8,0,2,3,0,2,3,4,8,3,5,level 7,152
69,25,0,20,0,0,0,0,0,0,1,0,10,5,0,0,0,0,0,2,3,0,0,3,0,level 4,69
8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,level 3,8
141,25,0,20,2,23,0,6,7,4,1,0,10,5,8,0,2,3,0,2,3,4,8,3,5,level 6,141
17,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,level 3,17
20,5,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,level 3,20
56,25,2,15,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,level 3,56
73,25,2,20,0,0,0,0,0,0,1,0,10,5,0,0,2,0,0,2,3,0,0,3,0,level 4,73
83,25,0,20,2,5,0,0,0,0,1,0,10,5,5,2,0,0,0,2,3,0,0,3,0,level 4,83
95,25,0,20,0,20,0,0,0,0,1,0,10,5,3,0,0,0,3,2,3,0,0,3,0,level 4,95
63,23,0,18,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,2,3,0,0,2,0,level 3,63
15,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,level 3,15
84,25,0,20,0,10,0,0,0,0,1,0,10,5,5,0,0,0,0,2,3,0,0,3,0,level 4,84
35,25,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,level 3,35
142,25,2,20,0,23,0,6,7,5,1,0,10,5,8,0,2,3,0,2,3,4,8,3,5,level 6,142
136,25,0,20,2,23,2,6,4,0,1,0,10,5,8,0,0,3,3,2,3,4,8,3,4,level 6,136
132,25,0,20,0,23,2,6,2,0,1,0,10,5,8,0,2,3,0,2,3,4,8,3,5,level 6,132
119,25,2,20,0,23,0,2,0,0,1,0,10,5,8,0,0,3,3,2,3,4,0,3,5,level 5,119
50,21,0,10,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,2,3,0,0,3,0,level 3,50
61,25,0,15,0,0,0,0,0,0,1,0,10,5,0,0,0,0,0,2,0,0,0,3,0,level 3,61
37,25,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,level 3,37
71,25,0,20,2,0,0,0,0,0,1,0,10,5,0,0,0,0,0,2,3,0,0,3,0,level 3,71
71,25,2,20,0,0,0,0,0,0,1,0,10,5,0,0,0,0,0,2,3,0,0,3,0,level 4,71
120,25,3,20,0,23,0,6,0,0,1,0,10,5,5,0,2,3,0,2,3,4,0,3,5,level 4,120
33,20,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,level 3,33
160,25,0,20,2,23,8,6,7,7,1,8,10,5,8,0,2,3,0,2,3,4,8,3,5,level 7,160
36,10,0,7,0,0,3,0,0,0,1,0,5,5,0,0,0,0,0,2,0,0,0,3,0,level 3,36
42,10,0,10,0,6,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,3,0,level 3,42
83,25,0,20,0,9,3,0,0,0,1,0,10,5,0,0,2,0,0,2,3,0,0,3,0,level 4,83
73,25,0,20,2,0,0,0,0,0,1,0,10,5,0,2,0,0,0,2,3,0,0,3,0,level 4,73
86,25,0,20,2,17,0,0,0,0,1,0,10,5,0,0,0,0,3,0,0,0,0,3,0,level 3,86
136,25,2,20,0,23,0,6,0,6,1,0,10,5,8,2,0,3,0,2,3,4,8,3,5,level 6,136
146,25,0,20,0,23,3,6,7,0,1,8,10,5,8,0,2,3,0,2,3,4,8,3,5,level 6,146
127,25,0,20,0,23,2,5,0,0,1,0,10,5,8,2,0,3,0,2,3,4,6,3,5,level 5,127
86,25,0,20,2,10,3,0,0,0,1,0,10,5,0,0,2,0,0,2,3,0,0,3,0,level 4,86
45,25,2,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,3,0,0,0,0,level 3,45
23,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,level 3,23
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,level 3,2
59,25,0,20,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,level 3,59
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,level 3,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,level 3,0
154,25,0,20,0,23,7,6,7,7,1,8,10,5,8,0,2,3,0,2,0,4,8,3,5,level 7,154
35,25,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,level 3,35
155,25,2,20,0,23,3,6,7,7,1,8,10,5,8,0,2,3,0,2,3,4,8,3,5,level 7,155
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,level 3,0
10,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,level 3,10
