Source,target,weight
AGM3203,Output_EEX3336,3
EEX3351,Output_EEX3336,3
EEX3417,Output_EEX3336,3
EEX3410,Output_EEX3351,3
MHZ3552,Output_EEX3410,3
AGM3203,Output_EEX3417,3
EEX3417,Output_EEX3262,3
level_3_credit_pass,Output_AGM4307,18
EEX3410,Output_EEX4331,2
MHZ3551,Output_EEX4331,2
MHZ3552,Output_EEX4331,2
EEX3410,Output_EEX4332,2
MHZ3551,Output_EEX4332,2
AGM3203,Output_EEX4435,2
EEX3417,Output_EEX4435,2
level_3_credit_eligible,Output_EEX4435,10
AGM3203,Output_EEX4347,2
EEX3417,Output_EEX4347,2
level_3_credit_eligible,Output_EEX4347,9
EEX3417,Output_EEX4436,1
EEX3336,Output_EEX4436,2
level_3_credit_eligible,Output_EEX4436,12
EEX3351,Output_EEX4351,2
EEX3410,Output_EEX4351,2
level_3_credit_eligible,Output_EEX4351,8
level_3_credit_pass,Output_EEY4181,24
MHZ3551,Output_MHZ4553,2
MHZ3552,Output_MHZ4553,2
MHZ3551,Output_MHZ5355,1
EEX3417,Output_EEX3372,3
MHZ3551,Output_EEX4362,2
EEX3262,Output_EEX4362,2
level_3_credit_eligible,Output_EEX4362,8
EEX3266,Output_EEX4366,2
level_3_credit_eligible,Output_EEX4366,10
total_credit_pass,Output_MHJ4241,20
AGM4307,Output_CVM5401,2
total_credit_pass,Output_CVM5401,30
EEX3336,Output_EEX5270,1
EEX3417,Output_EEX5270,1
EEX4435,Output_EEX5270,2
EEX4436,Output_EEX5270,2
level_3_credit_pass,Output_EEX5270,24
level_4_credit_eligible,Output_EEX5270,15
AGM3203,Output_EEX5434,1
EEX3336,Output_EEX5434,1
level_3_credit_pass,Output_EEX5434,24
EEX4435,Output_EEX5335,2
EEX4436,Output_EEX5335,2
level_3_credit_pass,Output_EEX5335,24
level_4_credit_eligible,Output_EEX5335,15
EEX3336,Output_EEX5536,1
EEX3417,Output_EEX5536,1
EEX4435,Output_EEX5536,2
EEX4436,Output_EEX5536,2
level_3_credit_pass,Output_EEX5536,24
level_4_credit_eligible,Output_EEX5536,15
EEX3336,Output_EEX5346,1
EEX3417,Output_EEX5346,1
EEX4436,Output_EEX5346,2
level_3_credit_pass,Output_EEX5346,24
level_4_credit_eligible,Output_EEX5346,15
EEX3336,Output_EEX5351,1
EEX3417,Output_EEX5351,1
EEX4436,Output_EEX5351,2
level_3_credit_pass,Output_EEX5351,24
level_4_credit_eligible,Output_EEX5351,15
EEX4435,Output_EEX6181,1
EEX5335,Output_EEX6181,3
EEX5536,Output_EEX6181,3
level_3_4_credit_pass,Output_EEX6181,45
level_5_credit_CR,Output_EEX6181,15
MHZ3551,Output_MHZ5554,1
MHZ3552,Output_MHZ5554,1
MHZ4553,Output_MHZ5554,2
EEX3417,Output_EEW6801,1
EEX4435,Output_EEW6801,1
EEX4347,Output_EEW6801,1
EEX5335,Output_EEW6801,3
EEX5536,Output_EEW6801,3
level_3_4_credit_pass,Output_EEW6801,45
level_5_credit_CR,Output_EEW6801,15
total_credit_pass,Output_MHJ5342,45
EEX3351,Output_EEX5360,1
MHZ4553,Output_EEX5360,3
level_3_credit_pass,Output_EEX5360,24
EEX4435,Output_EEX6335,1
MHZ5355,Output_EEX6335,2
EEX5536,Output_EEX6335,2
level_3_4_credit_pass,Output_EEX6335,45
level_5_credit_eligible,Output_EEX6335,15
EEX4436,Output_EEX6236,1
EEX5335,Output_EEX6236,2
EEX5536,Output_EEX6236,2
level_3_4_credit_pass,Output_EEX6236,45
level_5_credit_eligible,Output_EEX6236,15
level_3_4_credit_pass_X,Output_DMM6601,45
level_5_credit_eligible_X,Output_DMM6601,15
level_3_credit_pass,Output_EEM6201,36
level_4_or_above_credit_pass,Output_EEM6201,24
EEX4436,Output_EEX7436,1
EEX5536,Output_EEX7436,2
EEX5351,Output_EEX7436,2
level_3_4_credit_pass,Output_EEX7436,45
level_5_credit_eligible,Output_EEX7436,15
EEX4347,Output_EEX7337,1
EEX5346,Output_EEX7337,2
EEX5351,Output_EEX7337,2
level_3_4_credit_pass,Output_EEX7337,45
level_5_credit_eligible,Output_EEX7337,15
EEX6181,Output_EEY7881,1
EEX6236,Output_EEY7881,3
EEX7436,Output_EEY7881,3
credit_pass_X_category,Output_EEY7881,50
total_credit_pass,Output_EEY7881,80
EEX3417,Output_EEX5280,1
DMX3305,Output_EEX5280,1
level_3_credit_pass,Output_EEX5280,24
level_4_credit_eligible,Output_EEX5280,15
EEX3417,Output_EEX7241,1
MHZ4553,Output_EEX7241,1
level_3_4_credit_pass,Output_EEX7241,45
EEX3417,Output_EEX7244,1
EEX3266,Output_EEX7244,1
EEX4366,Output_EEX7244,2
level_3_4_credit_pass,Output_EEX7244,45
level_5_credit_eligible,Output_EEX7244,15
EEX3417,Output_EEX7340,1
MHZ3551,Output_EEX7340,1
level_3_4_credit_pass,Output_EEX7340,45
AGM3203,Output_EEX7171,1
MHZ5554,Output_EEX7171,2
level_3_4_credit_pass,Output_EEX7171,45
level_5_credit_eligible,Output_EEX7171,15
START,Output_AGM3203,0
START,Output_EEX3331,0
START,Output_DMX3401,0
START,Output_DMX3305,0
START,Output_MHZ3551,0
START,Output_MHZ3552,0
START,Output_EEX3266,0
START,Output_EEX3269,0
START,Output_DMX3107,0
START,Output_LLJ3245,0
